2017-03-24T02:05:41.473Z - normal: Load ~/.CocosCreator/settings.json
2017-03-24T02:05:41.483Z - normal: checking language setting...
2017-03-24T02:05:41.484Z - normal: Language: zh
2017-03-24T02:05:42.343Z - success: protocol editor-framework registered
2017-03-24T02:05:42.343Z - success: protocol app registered
2017-03-24T02:05:42.343Z - success: protocol theme registered
2017-03-24T02:05:42.344Z - success: protocol profile registered
2017-03-24T02:05:42.344Z - success: protocol packages registered
2017-03-24T02:05:42.348Z - success: protocol unpack registerred
2017-03-24T02:05:42.349Z - success: protocol disable-commonjs registerred
2017-03-24T02:05:42.548Z - normal: connected!
2017-03-24T02:05:42.551Z - normal: Check project /Users/apple/workspace/cocos/chessy
2017-03-24T02:05:42.555Z - normal: Initializing Cocos2d
2017-03-24T02:05:42.863Z - normal: Initializing Asset Database
2017-03-24T02:05:42.907Z - success: protocol uuid registerred
2017-03-24T02:05:42.908Z - success: protocol db registerred
2017-03-24T02:05:42.908Z - success: protocol thumbnail registerred
2017-03-24T02:05:42.908Z - normal: Loading editor/builtin packages
2017-03-24T02:05:43.143Z - success: assets loaded
2017-03-24T02:05:43.148Z - success: builder loaded
2017-03-24T02:05:43.154Z - success: hierarchy loaded
2017-03-24T02:05:43.160Z - success: inspector loaded
2017-03-24T02:05:43.162Z - success: keystore loaded
2017-03-24T02:05:43.169Z - success: node-library loaded
2017-03-24T02:05:43.174Z - success: preferences loaded
2017-03-24T02:05:43.203Z - success: project-importer loaded
2017-03-24T02:05:43.210Z - success: project-settings loaded
2017-03-24T02:05:43.215Z - success: ui-kit loaded
2017-03-24T02:05:43.224Z - success: ui-grid loaded
2017-03-24T02:05:43.230Z - success: scene loaded
2017-03-24T02:05:43.233Z - success: sprite-editor loaded
2017-03-24T02:05:43.312Z - success: store loaded
2017-03-24T02:05:43.320Z - success: timeline loaded
2017-03-24T02:05:43.320Z - normal: Loading builtin packages
2017-03-24T02:05:43.327Z - success: anysdk loaded
2017-03-24T02:05:43.332Z - success: asset-db-debugger loaded
2017-03-24T02:05:43.335Z - success: code-editor loaded
2017-03-24T02:05:43.336Z - success: color-picker loaded
2017-03-24T02:05:43.348Z - success: console loaded
2017-03-24T02:05:43.355Z - success: package-manager loaded
2017-03-24T02:05:43.362Z - success: tester loaded
2017-03-24T02:05:43.367Z - success: ui-kit-preview-extra loaded
2017-03-24T02:05:43.372Z - success: ui-kit-preview loaded
2017-03-24T02:05:43.380Z - success: ui-tree loaded
2017-03-24T02:05:43.473Z - normal: Initializing project /Users/apple/workspace/cocos/chessy
2017-03-24T02:05:43.477Z - normal: Loading packages
2017-03-24T02:05:43.484Z - normal: Watching packages
2017-03-24T02:05:43.503Z - normal: Run Application
2017-03-24T02:05:44.143Z - success: preview server running at http://localhost:7456
2017-03-24T02:05:52.465Z - normal: 1.4.0
2017-03-24T02:09:09.697Z - normal: Compiled project javascript file successfully
2017-03-24T02:10:08.383Z - normal: Compiled project javascript file successfully
2017-03-24T03:21:44.328Z - normal: Compiled project javascript file successfully
2017-03-24T06:39:32.600Z - normal: Compiled project javascript file successfully
2017-03-24T07:24:46.001Z - normal: Compiled project javascript file successfully
2017-03-24T07:25:58.699Z - normal: Compiled project javascript file successfully
2017-03-24T07:26:40.695Z - normal: Compiled project javascript file successfully
2017-03-24T07:27:44.397Z - normal: Compiled project javascript file successfully
2017-03-24T07:34:18.040Z - normal: Compiled project javascript file successfully
2017-03-24T07:39:16.624Z - normal: Compiled project javascript file successfully
2017-03-24T07:41:06.901Z - normal: Compiled project javascript file successfully
2017-03-24T07:41:57.471Z - normal: Compiled project javascript file successfully
2017-03-24T07:42:52.143Z - normal: Compiled project javascript file successfully
2017-03-24T07:44:25.002Z - normal: Compiled project javascript file successfully
2017-03-24T07:46:49.698Z - normal: Compiled project javascript file successfully
2017-03-24T08:32:14.147Z - normal: Compiled project javascript file successfully
2017-03-24T08:33:36.571Z - normal: Compiled project javascript file successfully
2017-03-24T08:41:28.703Z - normal: Compiled project javascript file successfully
2017-03-24T08:57:46.519Z - normal: Compiled project javascript file successfully
2017-03-24T09:03:39.463Z - normal: Compiled project javascript file successfully
2017-03-24T09:06:27.952Z - normal: Compiled project javascript file successfully
2017-03-24T09:13:26.510Z - normal: Compiled project javascript file successfully
2017-03-24T09:15:26.594Z - normal: Compiled project javascript file successfully
2017-03-24T09:23:49.569Z - normal: Compiled project javascript file successfully
2017-03-24T09:25:26.373Z - normal: Compiled project javascript file successfully
2017-03-24T09:29:12.239Z - normal: Compiled project javascript file successfully
2017-03-24T09:30:45.745Z - normal: Compiled project javascript file successfully
2017-03-24T09:34:37.928Z - normal: Compiled project javascript file successfully
2017-03-24T09:48:05.036Z - normal: Compiled project javascript file successfully
2017-03-24T09:56:18.865Z - normal: Compiled project javascript file successfully
2017-03-24T09:58:47.017Z - normal: Compiled project javascript file successfully
2017-03-24T10:03:56.459Z - normal: Compiled project javascript file successfully
2017-03-24T10:06:04.158Z - normal: Compiled project javascript file successfully
2017-03-24T10:10:51.800Z - normal: Compiled project javascript file successfully
2017-03-24T10:15:58.638Z - normal: Compiled project javascript file successfully
2017-03-24T10:27:30.277Z - normal: Compiled project javascript file successfully
2017-03-24T10:28:19.116Z - normal: Compiled project javascript file successfully
2017-03-24T10:31:50.468Z - normal: Compiled project javascript file successfully
2017-03-24T10:32:47.889Z - normal: Compiled project javascript file successfully
2017-03-24T10:42:37.638Z - normal: Compiled project javascript file successfully
2017-03-24T10:47:16.533Z - normal: Compiled project javascript file successfully
